instance,family,seed,init,algo,feasible,violation,best_max_avg,best_sum_avg,elapsed_s,error
data/FLE/9,FLE,1,random,ga,False,336.0,7.107142857142857,20.023809523809522,5.952713966369629,
data/FLE/9,FLE,1,greedy_fair,ls,False,237.0,9.851851851851851,19.482804232804234,0.20000505447387695,
data/FLE/9,FLE,1,greedy_fair,sa,False,141.0,9.851851851851851,20.316137566137566,0.20000600814819336,
data/FLE/9,FLE,1,greedy_fair,tabu,False,170.0,9.185185185185185,19.95899470899471,0.2001199722290039,
data/FLE/9,FLE,1,greedy_fair,ga,False,346.0,10.37037037037037,19.608465608465607,5.970473051071167,
data/MSE/8,MSE,1,round_robin,ls,False,58.0,14.333333333333334,105.9,0.20002508163452148,
data/MSE/8,MSE,1,round_robin,sa,False,58.0,14.333333333333334,110.4,0.2000291347503662,
data/MSE/8,MSE,1,round_robin,tabu,False,72.0,15.0,107.86666666666667,0.20015430450439453,
data/MSE/8,MSE,1,round_robin,ga,False,84.0,12.0,129.95,13.019875764846802,
data/MSE/8,MSE,1,random,ls,False,162.0,11.75,105.16666666666666,0.20001482963562012,
data/MSE/8,MSE,1,random,sa,False,137.0,11.75,107.45,0.2000288963317871,
data/MSE/8,MSE,1,random,tabu,False,88.0,11.333333333333334,112.98333333333333,0.20021891593933105,
data/MSE/8,MSE,1,random,ga,False,84.0,12.0,129.95,13.01271915435791,
data/MSE/8,MSE,1,greedy_fair,ls,False,131.0,16.0,109.71666666666667,0.20006108283996582,
data/MSE/8,MSE,1,greedy_fair,sa,False,111.0,15.666666666666666,116.18333333333335,0.20000195503234863,
data/MSE/8,MSE,1,greedy_fair,tabu,False,70.0,16.0,109.98333333333335,0.20002079010009766,
data/MSE/8,MSE,1,greedy_fair,ga,False,84.0,12.0,129.95,12.93816614151001,
data/MSE/7,MSE,1,round_robin,ls,False,45.0,12.333333333333334,99.95,0.20002198219299316,
data/MSE/7,MSE,1,round_robin,sa,False,45.0,12.333333333333334,100.45,0.20001602172851562,
data/MSE/7,MSE,1,round_robin,tabu,False,81.0,12.666666666666666,99.23333333333333,0.20014524459838867,
data/MSE/7,MSE,1,round_robin,ga,False,81.0,12.666666666666666,99.23333333333333,11.101670265197754,
data/MSE/7,MSE,1,random,ls,False,117.0,9.4,87.63333333333333,0.20000004768371582,
data/MSE/7,MSE,1,random,sa,False,69.0,9.6,97.11666666666667,0.20000505447387695,
data/MSE/7,MSE,1,random,tabu,False,71.0,9.8,92.23333333333333,0.20060300827026367,
data/MSE/7,MSE,1,random,ga,False,127.0,11.5,112.68333333333334,11.088401079177856,
data/MSE/7,MSE,1,greedy_fair,ls,False,216.0,10.25,84.53333333333333,0.20001983642578125,
data/MSE/7,MSE,1,greedy_fair,sa,False,182.0,10.5,83.45,0.20004701614379883,
data/MSE/7,MSE,1,greedy_fair,tabu,False,63.0,11.0,90.48333333333333,0.20003032684326172,
